"","Year","Song","Artist","War","Min_deaths","Max_deaths","beginning","ending","Combatants","Location","duration","avg_death"
"231","2006","""Unknown Soldier""","Breaking Benjamin","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"232","1973","""Us and Them""","Pink Floyd","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"233","1991","""Véto de Dieu""","Alpha Blondy","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"234","2008","""Vinushka""","Dir en Grey","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"235","2008","""Violet Hill""","Coldplay","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"236","2006","""Waiting on the World to Change""","John Mayer","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"237","1979","""Walked in Line""","Joy Division","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"238","1976","""War""","Bob Marley & The Wailers","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"239","1970","""War""","Edwin Starr","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"240","2017","""War""","grandson","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"241","2014","""War""","Linkin Park","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"242","2010","""War""","The Tengelsens","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"243","1998","""War?""","System of a Down","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"244","1987","""War Baby""","Mick Jagger","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"245","1990","""War Ensemble""","Slayer","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"246","2005","""War Is Not a Game""","Bill Durston","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"247","1970","""War Pigs""","Black Sabbath","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"248","1997","""War Pimp Renaissance""","Lard","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"249","2015","""War Soldier""","Sky Destroyers","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"250","1984","""The War Song""","Culture Club","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"251","1972","""War Song""","Neil Young and Graham Nash","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"252","2006","""War Sucks, Let's Party!""","Anti-Flag","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"253","1980","""Wardance""","Killing Joke","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"254","1993","""Warfair""","Clawfinger","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"255","1992","""Wargasm""","L7","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"256","2004","""Warrior""","Steve Earle","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"257","2015","""Wars for Nothing""","Boggie","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"258","2016","""Wars for Nothing""","Richee","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"259","1980","""Washington Bullets""","The Clash","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"260","1978","""Wasted Life""","Stiff Little Fingers","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"261","2004","""We Are Here to Change the World""","Michael Jackson","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"262","1981","""We Don't Need the Army""","Slime","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"263","2005","""We've Got Nothing But Love to Prove""","Faith Hill","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"264","2004","""We've Had Enough""","Michael Jackson","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"265","2002","""What If We All Stopped Paying Taxes""","Sharon Jones & The Dap-Kings","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"266","2001","""What More Can I Give""","Michael Jackson","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"267","1965","""What the World Needs Now Is Love""","Hal David/Burt Bacharach","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"268","1971","""What's Going On""","Marvin Gaye","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"269","2002","""What's Left of the Flag""","Flogging Molly","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"270","1974","""(What's So Funny 'Bout) Peace, Love, and Understanding""","Nick Lowe","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"271","1989","""When the Children Cry""","White Lion","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"272","2011","""When We Stand Together""","Nickelback","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"273","1961","""Where Have All the Flowers Gone?""","Pete Seeger","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"274","2003","""Where Is The Love?""","The Black Eyed Peas","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"275","2010","""White Flag Warrior""","Flobots","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"276","1980","""Who's Gonna Win the War?""","Hawkwind","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"277","1982","""Wildest Dreams""","Asia","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"278","2017","""Wings of Freedom""","Epica","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"279","1964","""With God on Our Side""","Bob Dylan","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"280","2011","""The Words That Maketh Murder""","PJ Harvey","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"281","2004","""World War""","Yellowman","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"282","2006","""Worthless War""","The Gazette","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"283","1981","""Wozu sind Kriege da?""","Udo Lindenberg","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"284","1969","""The Yard Went on Forever""","Richard Harris","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"285","1979","""Yihye Tov (It Will Be Good/Things Will Be Better)""","David Broza","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"286","1995","""Yokel and Idiot""","Yoshiji Goto","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"287","2009","""Young""","Hollywood Undead","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"288","2003","""Your Revolution is a Joke""","Funeral for a Friend","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"289","1971","""Yours Is No Disgrace""","Yes","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"290","2007","""Zero Sum""","Nine Inch Nails","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"291","1976","""Zombie""","Fela Kuti","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"292","1994","""Zombie""","The Cranberries","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"293","1968","""Zor and Zam""","The Monkees","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"294","1989","""After The War""","Gary Moore","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"295","1860s","""Paddy's Lamentation""","Unknown","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"296","1861","""The Vacant Chair""","George F. Root","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"297","1863","""Tenting on the Old Camp Ground""","Walter Kittredge","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"298","1895","""The Songs We Sang Upon the Old Camp Ground""","H. L. Frisbie","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"299","1863","""Who Will Care for Mother Now?""","Charles Carroll Sawyer","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"300","2009","""Abraham Lincoln""","Clutch","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"301","2013","""Accidental Racist""","Brad Paisley (featuring L.L. Cool J)","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"302","1861","""All Quiet Along the Potomac Tonight""","Ethel Lynn Beers","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"303","1969","""Arkansas Grass""","Axiom","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"304","1995","""Ben McCullough""","Steve Earle","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"305","1974","""Billy Don't Be a Hero""","Paper Lace","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"306","2013","""Bloodshed""","Soulfly","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"307","2011","""Broken Hymns""","Dropkick Murphys","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"308","2003","""Cross The Green Mountain""","Bob Dylan","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"309","1987","""Gettysburg""","The Brandos","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"310","1983","""God Bless Robert E. Lee""","Johnny Cash","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"311","1963","""In the Hills of Shiloh""","Shel Silverstein","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"312","1959","""Johnny Reb""","Johnny Horton","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"313","2008","""Lone Pine Hill""","Justin Townes Earle","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"314","1865","""Marching through Georgia (e.g. 1896 version by Gilmore's Band)""","Henry Clay Work","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"315","1863","""Poor Kitty Popcorn""","Henry C. Work","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"316","1991","""Rebel Soldier""","Waylon Jennings","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"317","1999","""Shiloh Town""","Tim Hardin","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"318","1998","""Silent Reign of Heroes""","Molly Hatchet","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"319","1968","""Six White Horses""","Henson Cargill","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"320","1986","""Swan Swan H""","R.E.M.","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"321","2004","""Tears of God""","Josh Turner","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"322","1962","""The Big Battle""","Johnny Cash","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"323","1968","""The Klan""","Richie Havens","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"324","2004","""The Devil to Pay""","Iced Earth","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"325","1969","""The Night They Drove Old Dixie Down""","The Band","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"326","1978","""The Southland's Bleeding""","Waylon Jennings","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"327","1993","""Two Soldiers""","Bob Dylan","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"328","1997","""The General""","Dispatch","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000
"329","1991","""1916""","Motörhead","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"330","1999","""1917""","Linda Ronstadt","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"331","2006","""Angels Calling""","Sabaton","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"332","2014","""Argonne""","Garrison Keillor","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"333","1982","""All Quiet on the Western Front""","Elton John","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"334","1990","""All Together Now""","The Farm","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"335","1972","""And the Band Played Waltzing Matilda""","Eric Bogle","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"336","1997","""Belleau Wood""","Garth Brooks","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"337","2013","""Bloodshed""","Soulfly","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"338","1968","""Butcher's Tale (Western Front 1914)""","The Zombies","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"339","1981","""Cenotaph""","This Heat","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"340","1977","""Christmas 1914""","Mike Harding","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"341","1984","""Christmas in the Trenches""","John McCutcheon","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"342","2008","""Cliffs of Gallipoli""","Sabaton","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"343","1980","""Decades""","Joy Division","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"344","2002","""Don't Sign Up for War""","Alistair Hulett and Dave Swarbrick","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"345","1985","""Don't Wake the Lion (Too Old to Die Young)""","Magnum","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"346","1985","""Children's Crusade""","Sting","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"347","1980","""Es ist an der Zeit""","Hannes Wader","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"348","2019","""Fields of Verdun""","Sabaton","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"349","1982","""Gallipoli""","The Fureys","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"350","2019","""Great War""","Sabaton","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"351","2009","""Harry Farr""","Stray","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"352","2009","""Harry Patch (In Memory Of)""","Radiohead","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"353","1914","""I Didn't Raise My Boy to Be a Soldier""","Peerless Quartet","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"354","2000","""I Fought in a War""","Belle and Sebastian","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"355","1996","""It Could Happen Again""","Collin Raye","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"356","1936","""Johnny Johnson (musical)""","Kurt Weill","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"357","1917","""Der Kaiser von Atlantis""","Viktor Ullmann","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"358","2015","""Kingdom of the Cross""","Saxon","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"359","2015","""Nachts weinen die Soldaten""","Saltatio Mortis","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"360","1976","""No Man's Land"" aka ""Green Fields of France""","Eric Bogle","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"361","1984","""Northwinds""","The Stranglers","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"362","2014","""Nuclear""","Mike Oldfield","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"363","1963","""Oh, What a Lovely War! (musical)""","Joan Littlewood","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"364","1994","""On Christmas Day""","Magnum","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"365","1988","""One""","Metallica","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"366","2003","""Paschendale""","Iron Maiden","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"367","1987","""Remembrance Day""","Bryan Adams","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"368","2007","""Scream Aim Fire""","Bullet for My Valentine","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"369","1967","""Snoopy's Christmas""","The Royal Guardsmen","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"370","1969","""Some Mother's Son""","The Kinks","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"371","1914","""Stay Down Here Where You Belong""","Irving Berlin","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"372","1980","""Stop the Cavalry""","Jona Lewie","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"373","1984","""The Accrington Pals""","Mike Harding","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"374","2019","""The End Of The War To End All Wars""","Sabaton","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"375","2008","""The Price of a Mile""","Sabaton","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"376","1969","""Yes Sir, No Sir""","The Kinks","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07
"377","1997","""1936""","Sin Dios","Spanish Civil War",5e+05,1e+06,1936,1939,"Nationalists vs. Republicans
","Spain",3,750000
"378","1998","""If You Tolerate This Your Children Will Be Next""","Manic Street Preachers","Spanish Civil War",5e+05,1e+06,1936,1939,"Nationalists vs. Republicans
","Spain",3,750000
"379","1937","""Jamie Foyers""","Ewan MacColl","Spanish Civil War",5e+05,1e+06,1936,1939,"Nationalists vs. Republicans
","Spain",3,750000
"380","1990","""Lorca's Novena""","The Pogues","Spanish Civil War",5e+05,1e+06,1936,1939,"Nationalists vs. Republicans
","Spain",3,750000
"381","2003","""Skeletons of Quinto""","The Folksmen","Spanish Civil War",5e+05,1e+06,1936,1939,"Nationalists vs. Republicans
","Spain",3,750000
"382","1983","""Sketches of Spain""","The Nits","Spanish Civil War",5e+05,1e+06,1936,1939,"Nationalists vs. Republicans
","Spain",3,750000
"383","1979","""Spanish Bombs""","The Clash","Spanish Civil War",5e+05,1e+06,1936,1939,"Nationalists vs. Republicans
","Spain",3,750000
"384","1963","""Spanish Civil War Song"" (or ""Spanish Lament"")","Phil Ochs","Spanish Civil War",5e+05,1e+06,1936,1939,"Nationalists vs. Republicans
","Spain",3,750000
"385","1983","""Viva la Quinta Brigada""","Christy Moore","Spanish Civil War",5e+05,1e+06,1936,1939,"Nationalists vs. Republicans
","Spain",3,750000
"386","1984","""Aces High""","Iron Maiden","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"387","1986","""Angel of Death""","Slayer","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"388","1979","""Another Brick in the Wall (Part 1)""","Pink Floyd","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"389","1945","""At Mail Call Today""","Gene Autry","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"390","1964","""The Ballad of Ira Hayes""","Johnny Cash","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"391","1943","""Blood on the Risers""","World War II Paratrooper Song","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"392","1979","""Bring the Boys Back Home""","Pink Floyd","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"393","1982","""Comme toi""","Jean-Jacques Goldman","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"394","1968","""Corporal Clegg""","Pink Floyd","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"395","1949","""D-Day Dodgers""","Lance Sergeant Harry Pynn","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"396","1980","""Enola Gay""","Orchestral Manoeuvres in the Dark","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"397","1999","""Etiópia""","Edson Gomes","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"398","1979","""Goodbye Blue Sky""","Pink Floyd","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"399","1983","""Hiroshima Mon Amour""","Alcatrazz","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"400","1979","""In the Flesh""","Pink Floyd","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"401","1985","""Manhattan Project""","Rush","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"402","1969","""Mr. Churchill Says""","The Kinks","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"403","1984","""Red Sector A""","Rush","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"404","2003","""Red Ball Express""","Scott Miller","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"405","1973","""Roads to Moscow""","Al Stewart","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"406","1993","""Sullivan""","Caroline's Spine","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"407","1990","""Tailgunner""","Iron Maiden","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"408","1990","""Take No Prisoners""","Megadeth","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"409","2010","""Thank You, Mr Churchill""","Peter Frampton","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"410","2000","""The Rain""","Scott Miller","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"411","2005","""The War""","Angels and Airwaves","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"412","1979","""Vera""","Pink Floyd","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"413","1982","""War is Hell (On the Homefront Too)""","T.G. Sheppard","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"414","1982","""When the Tigers Broke Free""","Pink Floyd","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"415","1979","""Rosa de Hiroshima""","Vinícius de Moraes, Secos e Molhados","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581
"416","1974","""The Door""","George Jones","Korean War",1500000,4500000,1950,1953,"South Korea and allies vs. North Korea and allies
","Korea",3,3e+06
"417","1994","""I Bombed Korea""","Cake","Korean War",1500000,4500000,1950,1953,"South Korea and allies vs. North Korea and allies
","Korea",3,3e+06
"418","1966","""7 O'Clock News/Silent Night""","Simon & Garfunkel","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"419","2006","""8th of November""","Big and Rich","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"420","1985","""19""","Paul Hardcastle","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"421","1968","""2 + 2 = ?""","Bob Seger System","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"422","1969","""21st Century Schizoid Man""","King Crimson","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"423","1967","""Alice's Restaurant Massacree""","Arlo Guthrie","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"424","1970","""American Woman""","The Guess Who","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"425","1970","""Ball of Confusion (That's What the World Is Today)""","The Temptations","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"426","1989","""Black Steel in the Hour of Chaos""","Public Enemy","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"427","1986","""Black Wall""","Dennis DeYoung","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"428","1984","""Born in the USA""","Bruce Springsteen","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
