"","Year","Song","War","Min_deaths","Max_deaths","beginning","ending","Combatants","Location","duration","avg_death","n_songs_by_war","id"
"157",1971,"""Your Flag Decal Won't Get You Into Heaven Anymore"" - John Prine","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,105
"158",1971,"""Yours Is No Disgrace"" - Yes","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,106
"159",1971,"""Children of the Grave"" - Black Sabbath","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,20
"160",1971,"""Hiroshima"" - Wishful Thinking","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,21
"161",1972,"""And the Band Played Waltzing Matilda"" - Eric Bogle","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,10
"162",1972,"""The Great Compromise"" - John Prine","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,107
"163",1972,"""Guns, Guns, Guns"" - The Guess Who","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,108
"164",1972,"""Now or Never"" - Yoko Ono","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,109
"165",1972,"""The Patriot's Dream"" - Gordon Lightfoot","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,110
"166",1972,"""Readjustment Blues"" - John Denver","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,111
"167",1972,"""The Ballad of Penny Evans"" - Steve Goodman","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,112
"168",1972,"""Give Ireland Back to the Irish"" - Paul McCartney and Wings","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,2
"169",1972,"""Soldier"" - Harvey Andrews","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,3
"170",1972,"""Sunday Bloody Sunday"" - John Lennon and Yoko Ono","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,4
"171",1973,"""Roads to Moscow"" - Al Stewart","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581,30,7
"172",1973,"""Daniel"" - Elton John","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,113
"173",1973,"""Hallelujah Day"" - Jackson 5","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,114
"174",1973,"""March to the Witch's Castle"" - Funkadelic","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,115
"175",1973,"""Smile"" - Jack Traylor and Steelwind","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,116
"176",1973,"""Tame the Lion/Those That Die"" - Emitt Rhodes","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,117
"177",1973,"""Where Are You Now, My Son?"" - Joan Baez","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,118
"178",1973,"""The Town I Loved So Well"" - Phil Coulter","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,5
"179",1973,"""Kuiama"" - Electric Light Orchestra","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,22
"180",1974,"""Billy Don't Be a Hero"" - Paper Lace","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000,34,16
"181",1974,"""The Door"" - George Jones","Korean War",1500000,4500000,1950,1953,"South Korea and allies vs. North Korea and allies
","Korea",3,3e+06,2,1
"182",1974,"""La La Peace Song"" - Al Wilson, O. C. Smith","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,119
"183",1974,"""Future Legend""/""Diamond Dogs"" - David Bowie","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,23
"184",1975,"""Sniper's Promise"" - Joe McCann","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,6
"185",1976,"""No Man's Land"" aka ""Green Fields of France"" - Eric Bogle","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,11
"186",1976,"""Harvest for the World"" - The Isley Brothers","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,120
"187",1976,"Soldier - Stephen Stills","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,121
"188",1976,"""If They Come in the Morning"" aka ""No Time for Love"" - Jack Warshaw","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,7
"189",1977,"""Christmas 1914"" - Mike Harding","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,12
"190",1977,"""Born on the Fourth of July"" - Tom Paxton","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,122
"191",1977,"""Commando"" - The Ramones","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,123
"192",1977,"""Front Line"" - Stevie Wonder","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,124
"193",1977,"""Ulster"" - Sham 69","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,8
"194",1978,"""The Southland's Bleeding"" - Waylon Jennings","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000,34,17
"195",1978,"""Khe Sanh"" - Cold Chisel","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,125
"196",1978,"""78 RPM"" - Stiff Little Fingers","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,9
"197",1978,"""90 Miles From Dublin"" - Christy Moore","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,10
"198",1978,"""Alternative Ulster"" - Stiff Little Fingers","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,11
"199",1978,"""The Saints Are Coming"" - The Skids","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,12
"200",1978,"""Wasted Life"" - Stiff Little Fingers","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,13
"201",1978,"""Atomic Bomb"" - William Onyeabor","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,24
"202",1978,"""Curfew"" - The Stranglers","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,25
"203",1979,"""Spanish Bombs"" - The Clash","Spanish Civil War",5e+05,1e+06,1936,1939,"Nationalists vs. Republicans
","Spain",3,750000,9,3
"204",1979,"""Another Brick in the Wall (Part 1)"" - Pink Floyd","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581,30,8
"205",1979,"""Bring the Boys Back Home"" - Pink Floyd","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581,30,9
"206",1979,"""Goodbye Blue Sky"" - Pink Floyd","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581,30,10
"207",1979,"""In the Flesh"" - Pink Floyd","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581,30,11
"208",1979,"""Vera"" - Pink Floyd","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581,30,12
"209",1979,"""Rosa de Hiroshima"" - Vinícius de Moraes, Secos e Molhados","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581,30,13
"210",1979,"""Bloody Sunday"" - Stiff Little Fingers","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,14
"211",1979,"""Ether"" - Gang of Four","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,15
"212",1979,"""Into the Valley"" - The Skids","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,16
"213",1979,"""No More of That"" - Stiff Little Fingers","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,17
"214",1979,"""Oliver's Army"" - Elvis Costello and the Attractions","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,18
"215",1979,"""State of Emergency"" - Stiff Little Fingers","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,19
"216",1979,"""White Noise"" - Stiff Little Fingers","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,20
"217",1979,"""Armageddon"" - Prism","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,26
"218",1979,"""They've Got a Bomb"" - Crass","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,27
"219",1980,"""Decades"" - Joy Division","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,13
"220",1980,"""Es ist an der Zeit"" - Hannes Wader","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,14
"221",1980,"""Stop the Cavalry"" - Jona Lewie","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,15
"222",1980,"""Enola Gay"" - Orchestral Manoeuvres in the Dark","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581,30,14
"223",1980,"""Charlie Don't Surf"" - The Clash","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,126
"224",1980,"""Holiday in Cambodia"" - Dead Kennedys","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,127
"225",1980,"""Fly the Flag"" - Stiff Little Fingers","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,21
"226",1980,"""Breathing"" - Kate Bush","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,28
"227",1980,"""Crazy Train"" - Ozzy Osbourne","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,29
"228",1980,"""Final Day"" - Young Marble Giants","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,30
"229",1980,"""Going Underground"" - The Jam","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,31
"230",1980,"""Seven Minutes to Midnight"" - Wah! Heat","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,32
"231",1980,"""Stop the World"" - The Clash","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,33
"232",1981,"""Cenotaph"" - This Heat","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,16
"233",1981,"""Cambodia"" - Kim Wilde","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,128
"234",1981,"""Goodnight Saigon"" - Billy Joel","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,129
"235",1981,"""In the Army Now"" - Status Quo","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,130
"236",1981,"""Vietnamerica"" - The Stranglers","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,131
"237",1981,"""Invisible Sun"" - The Police","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,22
"238",1981,"""Troops Out"" - The Passage","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,23
"239",1981,"""Battalions of Strangers"" - Fischer Z","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,34
"240",1981,"""Cruise Missiles"" - Fischer Z","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,35
"241",1981,"""Fire in the Sky"" - Saxon","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,36
"242",1981,"""Dumb All Over"" - Frank Zappa","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,37
"243",1981,"""It Only Takes Two to Tango"" - The Stranglers","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,38
"244",1981,"""Let's All Make a Bomb"" - Heaven 17","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,39
"245",1981,"""Mutually Assured Destruction"" - Gillan","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,40
"246",1981,"""Red Skies over Paradise"" - Fischer Z","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,41
"247",1981,"""Under Pressure"" - Queen ft. David Bowie","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,42
"248",1981,"""When Two Worlds Collide"" - Simple Minds","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,43
"249",1982,"""All Quiet on the Western Front"" - Elton John","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,17
"250",1982,"""Gallipoli"" - The Fureys","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,18
"251",1982,"""Comme toi"" - Jean-Jacques Goldman","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581,30,15
"252",1982,"""War is Hell (On the Homefront Too)"" - T.G. Sheppard","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581,30,16
"253",1982,"""When the Tigers Broke Free"" - Pink Floyd","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581,30,17
"254",1982,"""Pull Out The Pin"" - Kate Bush","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,132
"255",1982,"""Still in Saigon"" - The Charlie Daniels Band","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,133
"256",1982,"""Straight to Hell"" - The Clash","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,134
"257",1982,"""Damned to Be Free"" - Bad Religion","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,24
"258",1982,"""The More I See (The Less I Believe)"" - Fun Boy Three","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,25
"259",1982,"""1999"" - Prince","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,44
"260",1982,"""Ein bißchen Frieden"" - Nicole Seibert","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,45
"261",1982,"""Heatwave"" - Fay Ray","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,46
"262",1982,"""I've Known No War"" - The Who","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,47
"263",1982,"""Red Skies"" - The Fixx","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,48
"264",1982,"""US Forces"" - Midnight Oil","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,49
"265",1982,"""Why Did I Fall For That?"" - The Who","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,50
"266",1982,"""America"" - Au Pairs","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,51
"267",1982,"""Gotcha"" - Crass","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907,17,1
"268",1982,"""No Bombardeen Buenos Aires"" - Charly Garcia","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907,17,2
"269",1982,"""Sheep Farming in the Falklands"" - Crass","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907,17,3
"270",1983,"""God Bless Robert E. Lee"" - Johnny Cash","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000,34,18
"271",1983,"""Sketches of Spain"" - The Nits","Spanish Civil War",5e+05,1e+06,1936,1939,"Nationalists vs. Republicans
","Spain",3,750000,9,4
"272",1983,"""Viva la Quinta Brigada"" - Christy Moore","Spanish Civil War",5e+05,1e+06,1936,1939,"Nationalists vs. Republicans
","Spain",3,750000,9,5
"273",1983,"""Hiroshima Mon Amour"" - Alcatrazz","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581,30,18
"274",1983,"""I Was Only Nineteen (A Walk in the Light Green)"" - Redgum","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,135
"275",1983,"""Song for the Dead"" - Randy Newman","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,136
"276",1983,"""Walking on a Thin Line"" - Huey Lewis and The News","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,137
"277",1983,"""Forgotten Sons"" - Marillion","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,26
"278",1983,"""Section 31"" - Christy Moore","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,27
"279",1983,"""Sunday Bloody Sunday"" - U2","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,28
"280",1983,"""99 Luftballons"" and ""99 Red Balloons"" - Nena","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,52
"281",1983,"""Balls to the Wall"" - Accept","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,53
"282",1983,"""East at Easter"" - Simple Minds","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,54
"283",1983,"""It's a Mistake"" - Men at Work","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,55
"284",1983,"""I Won't Let The Sun Go Down On Me"" - Nik Kershaw","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,56
"285",1983,"""Moya"" - Southern Death Cult","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,57
"286",1983,"""New Year's Day"" - U2","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,58
"287",1983,"""Rival Leaders"" - The Exploited","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,59
"288",1983,"""Seconds"" - U2","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,60
"289",1983,"""Standing in the Dark"" - Patinum Blonde","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,61
"290",1983,"""Strike Zone"" - Loverboy","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,62
"291",1983,"""Time After Time"" - Electric Light Orchestra","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,63
"292",1983,"""Two Suns in the Sunset"" - Pink Floyd","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,64
"293",1983,"""Vamos a la playa"" - Righeira","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,65
"294",1983,"""Get Your Filthy Hands off My Desert"" - Pink Floyd","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907,17,4
"295",1983,"""How Does It Feel To Be The Mother of 1000 Dead?"" - Crass","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907,17,5
"296",1983,"""Let's Start a War"" - The Exploited","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907,17,6
"297",1983,"""The Post War Dream"" - Pink Floyd","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907,17,7
"298",1983,"""Shipbuilding"" - Elvis Costello and the Attractions","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907,17,8
"299",1983,"""Southampton Dock"" - Pink Floyd","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907,17,9
"300",1983,"""Yes Sir, I Will"" - Crass","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907,17,10
"301",1984,"""Christmas in the Trenches"" - John McCutcheon","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,19
"302",1984,"""Northwinds"" - The Stranglers","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,20
"303",1984,"""The Accrington Pals"" - Mike Harding","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,21
"304",1984,"""Aces High"" - Iron Maiden","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581,30,19
"305",1984,"""Red Sector A"" - Rush","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581,30,20
"306",1984,"""Born in the USA"" - Bruce Springsteen","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,138
"307",1984,"""The Girl Next Door"" - Country Joe MacDonald","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,139
"308",1984,"""Shut Out the Light"" - Bruce Springsteen","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,140
"309",1984,"""Viet Nam"" - Minutemen","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,141
"310",1984,"""My Youngest Son Came Home Today"" - Mary Black","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,29
"311",1984,"""2 Minutes to Midnight"" - Iron Maiden","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,66
"312",1984,"""Be Not Always"" - The Jacksons","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,67
"313",1984,"""Beyond the Black"" - Metal Church","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,68
"314",1984,"""Dancing with Tears in My Eyes"" - Ultravox","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,69
"315",1984,"""Forever Young"" - Alphaville","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,70
"316",1984,"""Hammer to Fall"" - Queen","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,71
"317",1984,"""Minutes to Midnight"" - Midnight Oil","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,72
"318",1984,"""People are People"" - Depeche Mode","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,73
"319",1984,"""Fight Fire with Fire"" - Metallica","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,74
"320",1984,"""Two Tribes"" - Frankie Goes To Hollywood","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,75
"321",1984,"""Island of No Return"" - Billy Bragg","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907,17,11
"322",1984,"""Spirit of the Falklands"" - New Model Army","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907,17,12
"323",1984,"""Wha Dat"" - Yellowman","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907,17,13
"324",1984,"""The Right Side Won"" - What Fun!","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907,17,14
"325",1985,"""Don't Wake the Lion (Too Old to Die Young)"" - Magnum","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,22
